arabic market name ,price for 1kg,perfume code,compny tag
القبلة الاولى,95,42742,EMSA
الليله الحمراء,75,42743,EMSA
لويز فيتون LV,75,42744,EMSA
فانتوم من باكوروبان,75,42745,EMSA
فيراري SWISS,65,42746,EMSA
إصدار خاص,68,42602,EMSA
أنا الأبيض,75,42585,EMSA
أتيرنتي نسائي .ENG,40,42608,EMSA
بيكاسو SWISS,56,42579,EMSA
تزوجني,54,42578,EMSA
جالاكسي شامباني,52,42603,EMSA
تيتانيوم,60,42586,EMSA
خيالي,75,42591,EMSA
رخام,60,42577,EMSA
رشا 2,58,42581,EMSA
ريمي ماركوس NEW,54,42604,EMSA
سوفاج .FR,54,42584,EMSA
عود زايد,74,42587,EMSA
عبير الشوق,48,42582,EMSA
عتيق VINTAGE,64,42606,EMSA
غالي EXPENSIVE,74,42588,EMSA
فرانك أوليفر,74,42589,EMSA
فندي .ESS,50,42605,EMSA
مخلط عالية,64,42580,EMSA
مخلط ملكي .FR,58,42583,EMSA
مسك أبيض .FR,48,42607,EMSA
بخور صناعي,24,42597,EMSA
بنفسج صناعي,24,؟,EMSA
برسيل صناعي,20,42595,EMSA
تفاح صناعي,16,42601,EMSA
جاسمين صناعي,16,42592,EMSA
دوف صناعي,22,42590,EMSA
روز صناعي,20,42598,EMSA
زنبق صناعي,22,42599,EMSA
علج بوبي صناعي,16,42600,EMSA
فراولة صناعي,18,42596,EMSA
ورد جوري صناعي,18,42594,EMSA
اتيرنتي أنتينز M,48,42611,EMSA
الحلم الملكي,60,42617,EMSA
أحلام العرب,48,42623,EMSA
أرماني SI الأحمر (استنس),58,42614,EMSA
BAD GIRL كيليان,60,42618,EMSA
بلاتينيوم EXTRA,50,42624,EMSA
جاكوما FR,58,42620,EMSA
شيخ الشيوخ,60,42619,EMSA
عود أصفهان كرستيان ديور,75,42622,EMSA
عود سيوفي ملكي,75,42615,EMSA
مايكل كورس W,54,42609,EMSA
مليون دولار برايف,54,42610,EMSA
مونتال بلاك عود,60,42621,EMSA
مونتال كولد روز (الزهرة الذهبية),60,42613,EMSA
ماي بربري W,56,42612,EMSA
نخبة العود,75,42616,EMSA
كوستا كوستا,100,42759,EMSA
الفتاة الجميلة,70,42763,EMSA
بربري هير,75,42757,EMSA
بوز لايف,75,42762,EMSA
ليبري YSL سويسري (LIBRE),75,42768,EMSA
جست لوف مي,100,42766,EMSA
ليالي كان,95,42761,EMSA
العطر الأغريقي,75,42760,EMSA
ال هوم بارفيوم YSL,115,42765,EMSA
بيور ديستان بلاك,65,42770,EMSA
الرغبة الخبيثة Fr,90,42771,EMSA
شيفون (وردي),65,42772,EMSA
بيبي باودر VIP,55,42773,EMSA
5-77,75,42283,EMSA
المتحرش,75,42774,EMSA
بيور ديستان بلاك VIP,250,42769,EMSA
قبلة المطر,65,42764,EMSA
ملك بخاري,65,42767,EMSA
كلاب دي نويت أنتينز,90,42775,EMSA
مخلط عبد العزيز,100,42776,EMSA
بلان تايجر,75,42777,EMSA
212 هيروس فور ايفر,65,42778,EMSA
فانتوم باكوروبان,75,42779,EMSA
باريس باريس شانيل,65,42780,EMSA
بولو ايفرست,65,42781,EMSA
برادوكس برادا,85,42782,EMSA
Q دولجي كابانا,85,42783,EMSA
VIP 11033,75,42784,EMSA
خمرة (لطافة),65,42785,EMSA
توم فورد امبر ليذر,95,42786,EMSA
لغز الأزرق,65,42787,EMSA
سول باتشولي,95,42788,EMSA
حب مجنون New,65,42789,EMSA
ذه ولي وان,90,42790,EMSA
انسبيليشن,65,42791,EMSA
D&G دولجي كابانا فيوليت,75,42812,EMSA
هافوك VIP,75,42813,EMSA
هوت بلاك W,75,42814,EMSA
راف ناو,75,42815,EMSA
باروندا VIP,110,42816,EMSA
كيرك تيزيانا,85,42817,EMSA
ليدي روزا Roza,75,42818,EMSA
بلاك X.S سويسري,75,42819,EMSA
توم فورد فانيلا سكس,75,42820,EMSA
اجواء,95,42821,EMSA
313,85,42822,EMSA
الانوثه VIP,85,42823,EMSA
انفكتوس VIP,85,42824,EMSA
ديلينا روز,125,42825,EMSA
انا الاسود,65,42826,EMSA
بلاتينيوم,65,23905,RMI
انجل شير,75,24164,RMI
أربا بيورا,75,21827,RMI
ليبرا ysl,75,17188,RMI
توماس كوسمالا No 4,85,20340,RMI
كريد افينتوس,75,17842,RMI
ارتودي باريسي Terroni,300,18858,RMI
سوفاج,75,21773,RMI
امبريال فالي سوبر,185,31756,RMI
امبريال فالي VIP,125,31761,RMI
ميجاماز,175,42801,EMSA
بي شوت,65,42802,EMSA
جاسمين روج,85,42803,EMSA
امبر نوماد LV,75,42804,EMSA
دزاير بلو Swiss,75,42805,EMSA
دارك شوكلاته,55,42806,EMSA
لافين بلو,90,42807,EMSA
لوف الكسير,75,42808,EMSA
فويتون ابيض,175,42809,EMSA
ليدي بنفسجي,65,42810,EMSA
بلاك اند وايت,85,42811,EMSA
سكاندال W,75,22552,RMI
ديلينا روز,110,23708,RMI
سوبر Y ysl,110,13905,RMI
اكواكيس V.S,60,30690,RMI
عنبر رومانسي,60,30683,RMI
لوف اديكيت V.S,60,30693,RMI
لوف سبيل V.S,60,30684,RMI
بيور سيركشن V.S,65,30699,RMI
بير فانيلا V.S,65,21793,RMI
رومانتك V.S,65,23227,RMI
هادسون قصه,120,31713,RMI
اغراء V.S,65,30673,RMI
فلو جاسمين,110,42828,EMSA
ذه وان M,75,42829,EMSA
برشلونه Vip,175,42832,EMSA
أيماجنيشن LV,175,42833,EMSA
مرياد LV,95,42834,EMSA
أوف لاين (سوبر),200,42835,EMSA
نيشان X اكسترا,75,42830,EMSA
هوس مان Swiss,85,42831,EMSA
كاتلونيا (جبال),175,42836,EMSA
بو أمبريال,125,42837,EMSA
DG 3 VIP,100,42838,EMSA
